Date	Blues	Reds
10.07.17	2	10
11.07.17	8	10
11.07.17	10	6
13.07.17	8	10
17.07.17	10	7
16.08.17	4	10
28.08.17	10	12
01.09.17	10	2
17.09.17	6	10
19.09.17	4	10
25.09.17	10	6
19.10.17	6	10
24.10.17	10	4
26.10.17	8	10
01.11.17	5	10
01.11.17	10	8
02.11.17	11	9
14.11.17	7	10
15.11.17	11	9
16.11.17	9	11
22.11.17	6	10
23.11.17	4	10
23.11.17	12	10
23.11.17	10	12
28.11.17	8	10
29.11.17	13	15
30.11.17	11	9
01.12.17	8	10
04.12.17	9	11
06.12.17	11	13
08.12.17	6	10
08.12.17	10	7
11.12.17	11	13
19.12.17	10	12
20.12.17	8	10
21.12.17	3	10
22.12.17	12	14
22.12.17	10	8
22.12.17	14	16
08.02.18	8	10
13.02.18	11	9
14.02.18	8	10
20.02.18	10	2
23.02.18	10	8
26.02.18	5	10
27.02.18	6	10
01.03.18	11	9
03.03.18	6	10
05.03.18	13	15
06.03.18	11	9
07.03.18	6	10
08.03.18	5	10
12.03.18	11	9
13.03.18	3	10
15.03.18	14	12
19.03.18	7	10
20.03.18	3	10
21.03.18	10	8
22.03.18	6	10
23.03.18	10	8
10.04.18	6	10
12.04.18	10	8
13.04.18	6	10
13.04.18	10	12
15.04.18	8	10
17.04.18	7	10
18.04.18	13	15
19.04.18	11	9
23.04.18	8	10
24.04.18	10	6
25.04.18	5	10
26.04.18	3	10
27.04.18	13	11
30.04.18	2	10
02.05.18	10	6
03.05.18	10	8
04.05.18	6	10
07.05.18	8	10
08.05.18	8	10
14.05.18	3	10
15.05.18	10	12
15.05.18	9	11
17.05.18	10	7
17.05.18	10	7
18.05.18	7	10
22.05.18	11	9
24.05.18	8	10
25.05.18	5	10
28.05.18	10	8
29.05.18	10	12
30.05.18	8	10
11.06.18	6	10
11.06.18	12	10
13.06.18	7	10
14.06.18	5	10
15.06.18	10	12
18.06.18	6	10
19.06.18	10	12
20.06.18	5	10
21.06.18	13	11
21.06.18	9	11
